#sjh_ID, date, SOL_event, duration, basepoint_X, std_X, basepoint_Y, std_Y, basepoint_X_longitude, basepoint_Y_latitude, max_height, upper_H, lower_H, avg_width, std_width, velocity, sigma, flag
sjh_2011-03-20T02_1,2011-03-20T02:10:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-823.857,0.0,-522.226,0.0,-94.0,-32.0,152.26591511562924,49.53595875863823,-37.376452193965044,59.85769565394246,0.0,nan,0.43068188260112006,011
sjh_2011-03-20T02_2,2011-03-20T02:10:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-768.152,0.0,-605.111,0.0,-95.0,-37.0,66.86627768913111,15.07372479940908,-12.300754669708384,30.04366322537914,0.0,nan,0.33407955379237325,011
sjh_2011-03-20T02_3,2011-03-20T02:23:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-826.212,0.0,-514.537,0.0,-94.0,-31.0,156.5117493257295,68.31915470358739,-47.559077615590375,57.49159257665422,0.0,nan,0.5154017096513911,011
sjh_2011-03-20T02_4,2011-03-20T02:36:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-831.673,0.0,-522.206,0.0,-94.0,-31.0,171.9781817120998,42.42733057660803,-34.03165846612193,67.57527963686132,0.0,nan,0.35660925051112524,011
sjh_2011-03-20T03_1,2011-03-20T03:41:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-879.087,0.0,-411.256,0.0,-93.0,-24.0,102.24641277326066,28.716773793789404,-22.419942457133672,52.606356621609976,0.0,nan,0.39046634089605237,011
sjh_2011-03-20T03_2,2011-03-20T03:54:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-879.571,0.0,-416.751,0.0,-93.0,-25.0,169.37149579843708,54.005434721652534,-40.94863887132027,57.45510477755659,0.0,nan,0.42508451240640993,011
sjh_2011-03-20T04_1,2011-03-20T04:07:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-916.954,0.0,-299.066,0.0,-92.0,-17.0,169.4260774497244,52.826371582725706,-40.27026456683055,149.5390664742829,0.0,nan,0.4188778866322576,011
sjh_2011-03-20T04_2,2011-03-20T04:46:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-878.283,0.0,-414.311,0.0,-93.0,-25.0,86.57501064394972,18.057371910711666,-14.941045278739866,45.97293748500299,0.0,nan,0.31537480447042965,011
sjh_2011-03-20T07_1,2011-03-20T07:48:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-870.204,0.0,-432.273,0.0,-93.0,-26.0,166.21385791804488,40.70174517239086,-32.69542744992231,41.17540898400401,0.0,nan,0.3547203377902523,011
sjh_2011-03-20T08_1,2011-03-20T08:01:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-870.626,0.0,-421.061,0.0,-93.0,-25.0,240.29255452884928,98.8814548814634,-70.05394496561203,72.47405828984608,0.0,nan,0.49807884790696744,011
