,#sjh_ID,date,SOL_event,duration,basepoint_X,std_X,basepoint_Y,std_Y,basepoint_X_longitude,basepoint_Y_latitude,max_height,upper_H,lower_H,avg_width,std_width,sigma,flag,Number_of_image (Should have been 30)
63,sjh_2011-05-27T22_1,2011-05-27T22:10:32.000000,SOL2011-05-27T21:40:29L028C078,14.0,-917.895,0.0,260.182,0.0,-89.0,15.0,53.018990833474014,15.417014185967728,-11.94392532955644,20.855258066012937,0.0,0.3998032834872712,10,6
64,sjh_2011-05-27T22_2,2011-05-27T22:23:32.000000,SOL2011-05-27T21:40:29L028C078,16.0,-921.456,0.0,248.459,0.0,-89.0,15.0,69.9161409761723,18.900390155227495,-14.878337689664209,30.72574368505993,0.0,0.380320278382835,10,5
65,sjh_2011-05-27T22_3,2011-05-27T22:23:32.000000,SOL2011-05-27T21:40:29L028C078,16.0,-921.456,0.0,248.459,0.0,-89.0,15.0,209.69339623602843,70.14068919517138,-52.55985634847654,24.734475474527496,0.0,0.4384760539609644,10,5
94,sjh_2011-05-31T21_1,2011-05-31T21:20:32.000000,SOL2011-05-31T21:20:06L059C052,14.0,-49.5695,0.0,590.319,0.0,-3.0,37.0,31.88182633554741,8.43687192943468,-6.671417908923689,21.923077161977083,0.0,0.3747216673282416,10,6
95,sjh_2011-05-31T21_2,2011-05-31T21:33:32.000000,SOL2011-05-31T21:20:06L059C052,14.0,-50.4398,0.0,594.006,0.0,-3.0,37.0,77.0855170003419,23.767576222116062,-18.166382828591967,38.78414973426644,0.0,0.4157924929304021,10,6
619,sjh_2016-01-06T18_1,2016-01-06T18:54:41.000000,SOL2016-01-06T18:54:40L108C089,6.0,-974.937,0.1490000000000009,25.4911,0.1842000000000005,-88.0,1.0,46.94699514228783,7.840356293475218,-6.718360336420965,14.31886947194167,0.1316803155231589,0.3057702155656568,0,18
620,sjh_2016-01-06T18_2,2016-01-06T18:54:41.000000,SOL2016-01-06T18:54:40L108C089,5.666666666666667,-974.788,0.0,25.3069,0.0,-88.0,1.0,79.13522980337899,23.56846691157229,-18.15996994087841,78.22993744817202,0.0,0.4062992685479061,110,18
648,sjh_2016-02-16T19_1,2016-02-16T19:31:18.000000,SOL2016-02-16T00:00:06L116C072,9.0,910.858,0.0,263.127,0.0,75.0,14.0,49.73213066016786,15.290923342308147,-11.69508583133183,38.341100988364936,0.0,0.4150221730989808,10,12
726,sjh_2016-03-31T15_1,2016-03-31T15:07:51.000000,SOL2016-03-31T15:02:44L178C096,15.666666666666666,271.8716666666666,0.4544522955040367,-4.214083333333332,24.78823815079554,16.0,-6.0,65.6968096299965,15.840400603368504,-12.763053579144184,28.614936182129885,9.033628822304346,0.3078296953579346,0,18
760,sjh_2016-05-23T18_1,2016-05-23T18:04:06.000000,SOL2016-05-23T12:30:06L233C098,16.8,706.6165,2.484500000000025,-163.72899999999998,7.321999999999988,49.0,-10.0,168.46651504675938,74.16134703206264,-51.493276899938806,51.8634674816462,14.86603175969383,0.5346974410226246,0,22
